SITE_NAME,ADDRESS,POSTCODE,SECTOR,SUB_TYPE,RELIGION,NURSERY,ANNEXE,COMM_ED_AR,CF_AREA,WARD_NAME,WARD_NO,SIP_AREA,LDC_AREA,SEED_NO,TELEPHONE,FAX_NUMBER,WEBSITE,X_COORD,Y_COORD
Echline Primary School,"Bo'ness Road, South Queensferry",EH30 9XJ,Primary,ND Primary,ND,YES,,N/A,West,Almond,1,N/A,West,5518229,331 3397,319 2385,www.echline.edin.sch.uk,312014,678151
Ferryhill Primary School,"Groathill Road North, Edinburgh",EH4 2SQ,Primary,ND Primary,ND,YES,,N/A,North,Inverleith,5,North Edinburgh,West,5541522,538 7382,538 7381,www.ferryhill.edin.sch.uk,322036,675205
Flora Stevenson Primary School,"175 Comely Bank, Edinburgh",EH4 1BG,Primary,ND Primary,ND,YES,,N/A,North,Inverleith,5,N/A,Central,5523826,332 1604,343 6310,www.florastevenson.edin.sch.uk,323602,674607
Forthview Primary School,"West Pilton Place, Edinburgh",EH4 4DF,Primary,ND Primary,ND,YES,,N/A,North,Forth,4,North Edinburgh,North and Leith,5520126,332 2468,332 2201,www.forthview.edin.sch.uk,322680,675950
Fox Covert Primary School,"Clerwood Terrace, Edinburgh",EH12 8PG,Primary,ND Primary,ND,,,N/A,West,Drum Brae/Gyle,3,N/A,West,5524024,339 3749,317 8612,www.foxcovert.edin.sch.uk,320207,674016
Fox Covert RC Primary School,"Clerwood Terrace, Edinburgh",EH12 8PG,Primary,RC Primary,RC,,,N/A,West,Drum Brae/Gyle,3,N/A,West,5524121,339 2383,317 8638,www.foxcovert-rc.edin.sch.uk,320160,673980
Gilmerton Primary School,"2 Moredun Dykes Road, Edinburgh",EH17 8NQ,Primary,ND Primary,ND,,,N/A,South,Liberton/Gilmerton,16,South Edinburgh,South,5524229,664 3614,672 3096,www.gilmerton.edin.sch.uk,328936,668853
Gracemount Primary School,"Lasswade Road, Edinburgh",EH16 6UA,Primary,ND Primary,ND,YES,,N/A,South,Liberton/Gilmerton,16,South Edinburgh,South,5524423,664 2331,621 7029,www.gracemount-pri.edin.sch.uk,327895,668581
Granton Primary School,"55 Boswall Parkway, Edinburgh",EH5 2DA,Primary,ND Primary,ND,YES,,N/A,North,Forth,4,North Edinburgh,North and Leith,5524520,552 3987,551 2856,none,323560,676620
Gylemuir Primary School,"10 Wester Broom Place, Edinburgh",EH12 7RT,Primary,ND Primary,ND,YES,,N/A,West,Drum Brae/Gyle,3,N/A,West,5524822,334 7138,334 7138,www.gylemuir.edin.sch.uk,319180,672410
