Street,"Premises Address","Permitted Table Area","Permit Start date","Permit End date","Permit Number","Council Ward","Ward Name"
"Hillhouse Road - The Suburban Pantry","12 Hillhouse Road","3.9m x 1.5m and 2.0m x 1.5m","Tuesday, May 28, 2013","Wednesday, November 27, 2013",486,05,
"Holyrood Road - Foodies At Holyrood","67 Holyrood Road","5.0m x 1.5m & 5.0m x 1.5m","Friday, August 17, 2012","Friday, August 16, 2013",102,11,
"Holyrood Road - Hemma","75 Holyrood Road","1.65m x 5.0m and 1.9m x 15.0m and 1.65m x 5.0m","Monday, April 01, 2013","Monday, September 30, 2013",522,11,
"Hope Street - Caffe Nero (House of Fraser)","House of Fraser","7.0m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",371,11,
"Hope Street - Hudson Hotel","7-11 Hope Street","5.5m x 1.8m and 5.85m x 1.8m","Monday, April 01, 2013","Monday, March 31, 2014",12,11,
"Hope Street - Ryans Bar","2 Hope Street","2.6m x 1.8m and 16.5m x 1.5m","Monday, April 01, 2013","Monday, March 31, 2014",360,11,
"Howard Place - The Orchard","1/2 Howard Place","10m x 1.0m","Tuesday, May 07, 2013","Wednesday, November 06, 2013",72,05,
"Hunter Square - Nonna Lucia","5 Hunter Square","3.5m x 1.5m & 3.5m x 2.5m - April-September
1.0m x 1.0m- October -March","Monday, April 01, 2013","Monday, March 31, 2014",49,11,
"Hunter Square - Royal Spice","3 Hunter Square","3.5m x 2.5m and 3.5m x 2.0m","Friday, June 07, 2013","Friday, September 06, 2013",117,11,
"James Court - Castle Caf","2 James Court","3.0m x 3.0m","Friday, May 10, 2013","Saturday, November 09, 2013",540,11,
"Johnston Terrace - Hanams Restaurant","3 Johnston Terrace","1.5mx 1.2m and 1.5m x 1.2m and 4.0m x 1.2m, 6.0m x 1.2m","Monday, April 01, 2013","Monday, March 31, 2014",98,11,
"Johnston Terrace - Maxies Bistro","5B Johnston Terrace","4.2m x 1.2m & 0.9m x 1.2m &4.0m x 1.2m &4.0m x 1.2m and 7.0m x 1.2m (6 months)","Tuesday, June 25, 2013","Tuesday, June 24, 2014",405,11,
"Johnston Terrace - The Castle Arms (Victoria Terrace)","Victoria Terrace","7.0m x 1.2m & 2.0m x 1.0m","Monday, April 01, 2013","Monday, March 31, 2014",311,11,
"Lawnmarket - Deacon Brodies Tavern","435 Lawnmarket","2.8m x 1.0m & 2.7m x 1.2m","Monday, April 01, 2013","Monday, March 31, 2014",280,11,
"Lawnmarket - Deacons House Caf","3 Brodies Close","8.0m x 9.0m and 2.3m x 1.7m","Monday, October 01, 2012","Monday, September 30, 2013",322,11,
"Leith Street - Deli Fresco","41 Leith Street","2.3m x 1.0m & 2.3m x 1.0m","Monday, April 01, 2013","Monday, March 31, 2014",130,11,
"Leith Walk - Boda Bar","229 Leith Walk","3.3m x 2.0m","Monday, April 01, 2013","Monday, September 30, 2013",426,12,
"Leith Walk - Caf","373-375 Leith Walk","1.5m x 2.5m","Thursday, June 27, 2013","Thursday, December 26, 2013",487,12,
"Leith Walk - Punjabn De Rasoi","122-124 Leith Walk","1.5m x 1.5m","Monday, April 01, 2013","Monday, September 30, 2013",488,12,
"Leith Walk - Qupi","171 Leith Walk","1.5m x 1.4m & 1.4m x 1.4m","Monday, April 01, 2013","Monday, September 30, 2013",448,12,
"Leith Walk - Robbie","367 Leith Walk","7.0m x 1.3m","Monday, April 01, 2013","Monday, September 30, 2013",359,12,
"Leith Walk - The Harp & Castle","298-300 Leith Walk","7.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",138,12,
"Leith Walk - Victoria","265 Leith Walk","5.5m x 2.5m","Monday, April 01, 2013","Monday, September 30, 2013",295,12,
"Leven Street - Bennet's Bar","8 Leven Street","4.2m x 1.5m and 4.6m x 1.5m","Friday, April 05, 2013","Friday, October 04, 2013",547,10,
"Logie Green Road - Crumbs Caf","1A Logie Green Road","2.5m x 1.5m","Thursday, May 09, 2013","Friday, November 08, 2013",247,12,
"London Road - Cherrys Caf","45-46 London Road","4.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",546,12,
"Lothian Road - Bar Frizzante","95 Lothian Road","3.1m x 1.9m","Monday, April 01, 2013","Monday, March 31, 2014",74,11,
"Lothian Road - Red Squirrel","21 Lothian Road","3.2m x 1.5m and 2.6m x 1.5m","Friday, May 03, 2013","Saturday, November 02, 2013",263,11,
"Lothian Road - Shakespeare","65 Lothian Road","7.0m x 4.0m","Monday, April 01, 2013","Monday, September 30, 2013",416,11,
