ID,BINTYPE,STREETNAME,COMMENTS,ASHTRAY,DIRECTION,X,Y,NEIGHBOURH,WARD,INSTALL
2730,Barnsley,Boswall Parkway,At bakers,Yes,WB,0.00,0.00,North,Forth,
2731,Topsy,Crewe Road North,Outside 160,Yes,SB,0.00,0.00,North,Forth,
2732,Barnsley,Crewe Road North,In OAPs seating area,Yes,SB,0.00,0.00,North,Forth,
2733,Barnsley,Ferry Road Drive,Grass area at shops,Yes,SB,0.00,0.00,North,Forth,
2734,Barnsley,Ferry Road Drive,On footpath near Social Work,Yes,EB,0.00,0.00,North,Forth,
2735,Derby Standard Green,West Pilton Grove,From George v,Yes,SB,0.00,0.00,North,Forth,23/04/2011
2737,Barnsley,West Pilton Avenue,Opposite 13a at path,Yes,EB,0.00,0.00,North,Forth,
2738,Barnsley,West Pilton Avenue,Opposite 13e,Yes,EB,0.00,0.00,North,Forth,
2741,Barnsley,West Pilton Avenue,Opposite 15,Yes,SB,0.00,0.00,North,Forth,
2743,Half Edinburgh,Pilton Drive,A recycling bins at Ainslie park,Yes,EB,0.00,0.00,North,Forth,
2744,Half Edinburgh,Boswall Drive,At Post Office,Yes,SB,0.00,0.00,North,Forth,
2745,Barnsley,Boswall Crescent,Opposite 27,Yes,EB,0.00,0.00,North,Forth,
2746,Barnsley,Boswall Drive,On bridge over walkway,Yes,NB,0.00,0.00,North,Forth,
2747,Half Edinburgh,Wardie Road,At entrance to Cycle track,Yes,WB,0.00,0.00,North,Forth,
2748,Topsy,South Trinity Road,At junction with Cargill terrace,No,WB,0.00,0.00,North,Forth,
2749,Half Edinburgh,Zetland Place,Against railings at park,Yes,EB,0.00,0.00,North,Forth,
2750,Half Edinburgh,Lomond Road,At park entrance opposite 20,Yes,NB,0.00,0.00,North,Forth,
2751,Half Edinburgh,Lennox Row,Opposite 22 at bus stop,Yes,WB,0.00,0.00,North,Forth,
2752,Half Edinburgh,Clark Road,Opposite telephone exchange,Yes,NB,0.00,0.00,North,Forth,
2753,Half Edinburgh,Clark Road,At entrance to Cycle path,Yes,SB,0.00,0.00,North,Forth,
2754,Half Edinburgh,Craighall Avenue,Outside School,Yes,EB,0.00,0.00,North,Forth,
2755,Half Edinburgh,Craighall Road,At junction with Craighall Avenue,Yes,SB,0.00,0.00,North,Forth,
2756,Half Edinburgh,Craighall Road,At 42,Yes,NB,0.00,0.00,North,Forth,
2757,Topsy,Craighall Road,At newsagent,Yes,NB,0.00,0.00,North,Forth,
2758,Half Edinburgh,Craighall Road,Opposite newsagent,Yes,SB,0.00,0.00,North,Forth,
2759,Half Edinburgh,Craighall Road,At bus Terminal,Yes,NB,0.00,0.00,North,Forth,
2767,Derby Standard Green,Victoria Park,South east exit,Yes,EB,0.00,0.00,North,Forth,09/04/2011
2768,Derby Standard Green,Victoria Park,Replace outside small play area,Yes,NB,0.00,0.00,North,Forth,09/04/2011
2772,Derby Standard Green,Victoria Park,Nort east exit,Yes,,0.00,0.00,North,Forth,09/04/2011
2774,Neopolitan,Summerside Place,Opposite 2,No,WB,0.00,0.00,North,Forth,
2775,Neopolitan,Summerside Place,Outside Doctors Surgery,Yes,NB,0.00,0.00,North,Forth,
2776,Half Edinburgh,Newhaven Road,At busvstop outside 144,Yes,SB,0.00,0.00,North,Forth,
2777,Half Edinburgh,Newhaven Road,Opposite 148,Yes,NB,0.00,0.00,North,Forth,
2778,Half Edinburgh,Newhaven Road,Opposite 184,Yes,NB,0.00,0.00,North,Forth,
