DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE
bank,Royal Bank of Scotland,Class 2,Class 2,Class 2,Class 2,2-3A BLENHEIM PLACE,EH7 5JH
pets & pet supplies,Dofos Pet Centre,,,Class 1,Class 1,4 BLENHEIM PLACE,EH7 5JH
grocer,The Bonaly Corner Shop,,,Class 1,Class 1,2 BONALY AVENUE,EH13 0ET
designer radiators,The Radiator Store,Class 1,Class 1,Class 1,Class 1,,
fabrics,The Cloth Shop,,Class 1,Class 1,Class 1,169 BONNINGTON ROAD,EH6 5BQ
public house,Fox's Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,8 BONNINGTON ROAD,EH6 5JD
cafÚ,Now Reast,Class 3,Class 3,Vacant,Class 3,10-12 BONNINGTON ROAD,EH6 5JD
grocer,Best One,Class 2,Vacant,Class 1,Class 1,264 BONNINGTON ROAD,EH6 5BE
hairdresser,Amor,,,Class 2,Class 1,268 BONNINGTON ROAD,EH6 5BE
dwelling,dwelling,Class 1,Class 1,Vacant,Class 9,,
restaurant,Massimo,,,Class 3,Class 3,10-11 ANTIGUA STREET,EH1 3NH
mobile disco,Chaplins Disco,Class 4,Class 4,Class 4,Class 4,191 BALGREEN ROAD,EH11 2RZ
hot food take-away (Chinese),B.M.,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,193 BALGREEN ROAD,EH11 2RZ
sandwich bar & outside catering,Primo Catering,,,Class 1,Class 1,195 BALGREEN ROAD,EH11 2RZ
hairdresser,Cheryl Macgillivray Hair,,,Vacant,Class 1,197 BALGREEN ROAD,EH11 2RZ
skateboard store,Focus Skateboard Store,Class 1,Class 4,Class 1,Class 1,199 BALGREEN ROAD,EH11 2RZ
hot food take-away,Balgreen Fryer Fish Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,203 BALGREEN ROAD,EH11 2RZ
performing arts centre,MGA Academy of Performance Arts,SUI GENERIS,SUI GENERIS,SUI GENERIS,Class 4,,
vacant,vacant,Vacant,Vacant,Vacant,Vacant,213 BALGREEN ROAD,EH11 2RZ
vacant,vacant,Class 4,Class 4,Vacant,Vacant,215 BALGREEN ROAD,EH11 2RZ
estate agent,Remax,,,Vacant,Class 2,219 BALGREEN ROAD,EH11 2RZ
betting shop,William Hill,Class 2,Class 2,Class 2,Class 2,221-223 BALGREEN ROAD,EH11 2RZ
sports equipment & clothing,Country Life,Class 1,Class 1,Class 1,Class 1,229 BALGREEN ROAD,EH11 2RZ
hot food take-away (Chinese),Lucky Star,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,154 BALGREEN ROAD,EH11 3AU
charity office,Downs Syndrome Scotland,Class 1,Class 2,Class 2,Class 2,158-160 BALGREEN ROAD,EH11 3AU
