DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE
hot food take-away,Papa Crolla's,,,SUI GENERIS,SUI GENERIS,57 BAVELAW ROAD,EH14 7AA
hairdresser & beauty salon,Tony Harper,,,Demolished,Class 1,46A/1 BAVELAW ROAD,EH14 7AE
public house,Planet Out,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,6 BAXTER'S PLACE,EH1 3AF
hot food take-away,Taste of Italy,Class 1,SUI GENERIS,SUI GENERIS,SUI GENERIS,9 BAXTER'S PLACE,EH1 3AF
chemist,Grange Pharmacy,Class 4,Class 1,Class 1,Class 1,2 BEAUFORT ROAD,EH9 1AG
courier,City Couriers,Class 1,Vacant,Class 4,Class 4,3 BEAUFORT ROAD,EH9 1AG
office,unknown,Class 1,Class 1,Class 2,Class 2,5 BEAUFORT ROAD,EH9 1AG
printer sales,Alpha Business Machines,Class 2,Class 2,Class 2,Class 2,6 BEAUFORT ROAD,EH9 1AG
vacant,vacant,,,Class 1,Vacant,10 BEAUFORT ROAD,EH9 1AG
children's nursery,The Edinburgh Nursery,Class 1,Class 10,Class 10,Class 10,,
vacant,vacant,Vacant,Vacant,Vacant,Vacant,2 BEAVERHALL ROAD,EH7 4JQ
"cafÚ, take away food",CafÚ Morfal,Class 1,Class 1,Class 3,Class 3,54 BELFORD ROAD,EH4 3BR
office,n/a,,,Class 4,Class 4,55 BELFORD ROAD,EH4 3BR
public house,The Waiting Room,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,7-8 BELHAVEN TERRACE,EH10 5HZ
dwelling,dwelling,Class 1,Class 1,Vacant,Class 9,,
grocer & n/t/c,Bellevue Newsagent,Class 1,Class 1,Class 1,Class 1,42 BELLEVUE ROAD,EH7 4DB
vacant,vacant,Class 2,Vacant,Class 4,Vacant,2 BELLEVUE STREET,EH7 4BY
office,Street Works,Class 4,Class 2,Class 4,Class 4,4 BELLEVUE STREET,EH7 4BY
hot food take-away,No.1 Takeaway,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1 BERNARD STREET,EH6 6PW
betting shop,William Hill,Class 2,Class 2,Class 2,Class 2,5 BERNARD STREET,EH6 6PW
public house,ISO Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,7 BERNARD STREET,EH6 6PW
hairdresser,Moda,Class 4,Class 1,Class 1,Class 1,9 BERNARD STREET,EH6 6PW
hot food take-away,Pierino's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,11 BERNARD STREET,EH6 6PW
beautician,LG Beauty Clinic,Class 2,Class 2,Class 2,Class 1,,
printers,Leith Print and Copy,Class 1,Vacant,Class 4,Class 4,19 BERNARD STREET,EH6 6PW
delicatessen,New Town Deli,Class 2,Vacant,Class 1,SUI GENERIS,23 BERNARD STREET,EH6 6PW
restaurant,China Palace,SUI GENERIS,Class 3,Class 3,Class 3,27 BERNARD STREET,EH6 6SH
vacant,vacant,,,Class 2,Vacant,45 BERNARD STREET,EH6 6SL
wine merchant,Beets,Class 4,Vacant,Class 10,Class 1,49 BERNARD STREET,EH6 6SL
chartered accountants,Frosts,Vacant,Vacant,Class 2,Class 2,51 BERNARD STREET,EH6 6SL
n/a,Flux,,,UNKNOWN USE,UNKNOWN USE,55 BERNARD STREET,EH6 6SL
n/t/c & post office,Blackford Avenue Post Office,Class 1,Class 1,Class 1,Class 1,31 BLACKFORD AVENUE,EH9 2PP
grocer,The Avenue Store,Class 1,Class 1,Class 1,Class 1,36 BLACKFORD AVENUE,EH9 2PP
veterinary surgery & pet supplies,The Veterinary Cat Clinic,Class 2,Vacant,Class 2,Class 2,,
charity office,Dog Aid Society of Scotland,Vacant,Class 4,Class 2,Class 2,60 BLACKFORD AVENUE,EH9 3ER
dental laboratory,Pentland Crown & Bridge,,,Class 2,Class 2,100-102 BLACKFORD AVENUE,EH9 3ES
paints,The Paint Shed,Class 1,SUI GENERIS,Class 1,Class 1,106 BLACKFORD AVENUE,EH9 3ES
plumbers & electricians,The 'A' Team (Adlec Electrical / James Adama Plumbers),Class 4,Vacant,Class 4,Class 4,108 BLACKFORD AVENUE,EH9 3HH
hairdresser,Nina Mackay Hairdressing,Class 1,Class 1,Class 1,Class 1,112 BLACKFORD AVENUE,EH9 3HH
travel agent & guided minibus tours,Haggis Backpackers,Vacant,Class 1,Class 1,Class 1,7-9 BLACKFRIARS STREET,EH1 1NB
travel agent & guided minibus tours,Haggis Backpackers,Vacant,Class 1,Class 1,Class 1,11 BLACKFRIARS STREET,EH1 1NB
cafÚ,Edinburgh Lader,Vacant,Class 3,Class 3,Class 3,15 BLACKFRIARS STREET,EH1 1NB
religious centre,Buddhafield,,,Class 11,Class 2,25 BLACKFRIARS STREET,EH1 1NB
bicycle hire,Rent-a-Bike,,,Class 1,Class 1,29 BLACKFRIARS STREET,EH1 1NB
tattoo artist,Old Town Tattoos,Class 1,Class 1,Class 1,Class 2,49 BLACKFRIARS STREET,EH1 1NB
public house & restaurant,Black Bo's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,57-61 BLACKFRIARS STREET,EH1 1NB
bicycle hire (storage / workshop),rent a bike,,,Vacant,Class 1,52 BLACKFRIARS STREET,EH1 1NE
tanning studio,Sunbed Studio,Class 11,Class 11,Class 11,Class 11,278 BONNINGTON ROAD,EH6 5BE
hot food take-away,Bonnington Brunch,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,280 BONNINGTON ROAD,EH6 5BE
public house,Guilty Lily,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,284 BONNINGTON ROAD,EH6 5BE
cleared site,cleared site,,,Vacant,Demolished,,
restaurant,Dino's,,,Class 3,Class 3,2-4 BONNINGTON ROAD LANE,EH6 5BJ
n/t/c & post office,Boswall Drive Post Office,Class 1,Class 1,Class 1,Class 1,55A BOSWALL DRIVE,EH5 2BE
vacant,vacant,Class 1,Vacant,Vacant,Vacant,57A BOSWALL DRIVE,EH5 2BE
hairdresser,Hairizon Hairdressing,Class 1,Vacant,Class 1,Class 1,33 BOSWALL PARKWAY,EH5 2BR
grocer / convenience store,Scotmid,Class 1,Class 1,Class 1,Class 1,35-41 BOSWALL PARKWAY,EH5 2BR
n/t/c,Boswall Newsagent,Class 1,Class 1,Class 1,Class 1,45 BOSWALL PARKWAY,EH5 2BR
restaurant,MacKenzies,Class 3,Class 3,Class 3,Class 3,2 BRIDGE ROAD,EH13 0LF
hot food take-away,Pizza Connection,Class 1,SUI GENERIS,SUI GENERIS,SUI GENERIS,4 BRIDGE ROAD,EH13 0LF
hairdresser,Colinton Hair Design,Class 1,Class 1,Class 1,Class 1,4A BRIDGE ROAD,EH13 0LF
"delicatessen (lic.), coffee shop, greeting cards",Fanelli's Delicatessen & Coffee Shop,,,Class 1,Class 1,8(BF-GF) BRIDGE ROAD,EH13 0LF
public house,Colinton Inn,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,12 BRIDGE ROAD,EH13 0LQ
bakery,no name,Class 1,Class 1,Class 1,Class 1,16 BRIDGE ROAD,EH13 0LQ
coffee shop,Sugar Rush,Class 1,Class 1,Class 11,Class 3,18 BRIDGE ROAD,EH13 0LQ
pet grooming,Canine Cuts,,,Class 2,Class 2,20 BRIDGE ROAD,EH13 0LQ
electrical contractor,D. Sykes,Class 1,Class 1,Class 4,Class 4,24 BRIDGE ROAD,EH13 0LQ
Interior design + soft furnishings,Interior Solutions,Vacant,Class 2,Class 1,Class 1,26 BRIDGE ROAD,EH13 0LQ
grocer (lic.),Mathur's Colinton Convenience Store,Class 1,Class 1,Class 1,Class 1,30-32 BRIDGE ROAD,EH13 0LQ
Independent financial advisors,Brown Associates,Class 2,Class 4,Class 4,Class 2,34 BRIDGE ROAD,EH13 0LQ
greengrocer,T.H. Downes,Class 1,Class 1,Class 1,Class 1,38 BRIDGE ROAD,EH13 0LQ
hairdresser,Moodz,Class 1,Class 1,Class 1,Class 1,40 BRIDGE ROAD,EH13 0LQ
chemist,Colinton Village Pharmacy,Class 3,Class 1,Class 1,Class 1,46A BRIDGE ROAD,EH13 0LQ
restaurant (Italian),Dantes Tratoria,Class 1,Class 1,Class 3,Class 3,48-50 BRIDGE ROAD,EH13 0LQ
gifts,Colinton Arts,Class 1,Class 1,Class 1,Class 1,52 BRIDGE ROAD,EH13 0LQ
beauty salon,Peaches of Colinton Beauty Salon,Class 1,Class 1,Class 1,Class 1,54 BRIDGE ROAD,EH13 0LQ
optician,Colinton Opticians,Class 2,Class 1,Class 3,Class 1,56 BRIDGE ROAD,EH13 0LQ
vacant,vacant,Class 1,Class 1,Class 1,Vacant,58 BRIDGE ROAD,EH13 0LQ
bank,Royal Bank of Scotland,Class 2,Class 2,Class 2,Class 2,64 BRIDGE ROAD,EH13 0LQ
public house,Newbridge Inn,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,31 BRIDGE STREET,EH28 8SR
hairdresser,Studio 38,Class 2,Class 2,Class 2,Class 1,36 BRIDGE STREET,EH28 8SH
"grocer (lic), post office & n/t/c",n/a,,,Class 1,Class 1,64 BRIDGE STREET,EH28 8SH
hot food take-away,The Mailhouse Food Bar,,,SUI GENERIS,SUI GENERIS,64(A) BRIDGE STREET,EH28 8SH
office,n/a,,,Vacant,Class 4,64(B) BRIDGE STREET,EH28 8SH
sandwich bar,baguette express,Class 1,Class 1,Class 11,Class 1,3 BRIGHTON PLACE,EH15 1LH
florist,Flowers by Ray,Class 1,Class 1,Class 1,Class 1,7 BRIGHTON PLACE,EH15 1LH
curios,smells and spells,Class 1,Class 1,Class 1,Class 1,9 BRIGHTON PLACE,EH15 1LH
hairdresser,She Hair,Class 1,Class 1,Class 1,Class 1,11 BRIGHTON PLACE,EH15 1LH
butcher,Allan Campbell,Class 1,Class 1,Class 1,Class 1,47 BOSWALL PARKWAY,EH5 2BR
grocer / convenience store,Day Today,,,Class 1,Class 1,51-53 BOSWALL PARKWAY,EH5 2BR
bank,Lloyds TSB Scotland,Class 2,Class 2,Class 2,Class 2,210 BOSWALL PARKWAY,EH5 2LX
grocer,General Store,Class 1,Class 1,Class 1,Class 1,212 BOSWALL PARKWAY,EH5 2LX
baker,Mathieson,Class 1,Class 1,Class 1,Class 1,214 BOSWALL PARKWAY,EH5 2LX
hairdresser,Angela Rae,Class 1,Class 1,Class 1,Class 1,218 BOSWALL PARKWAY,EH5 2LX
restaurant,The Witchery,Class 3,Class 3,Class 3,Class 3,"1(GF) BOSWELL'S COURT, (",EH1 2NF
n/t/c,Sharma,,,Class 1,Class 1,1 BOTHWELL STREET,EH7 5PY
bank,Lloyds TSB Scotland,Class 2,Class 2,Class 2,Class 2,3A BOWHILL TERRACE,EH3 5QY
betting shop,Coral,,,Class 2,Class 2,7-8 BOWHILL TERRACE,EH3 5QY
public house,Spiers Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,10 BOWHILL TERRACE,EH3 5QY
haridresser,Elan Hairdressing,Class 1,Class 1,Class 1,Class 1,3 BRAEFOOT TERRACE,EH16 6AA
insurance brokers,E.H. Ranson & Co.,,,Class 2,Class 2,6-7 BRAEFOOT TERRACE,EH16 6AA
golf equipment,Golf Shop,Class 1,Class 1,Class 1,Class 1,23 BRAID HILLS APPROACH,EH10 6JZ
funeral directors & monumental masons,William Purves,Class 1,Class 1,Class 1,Class 1,6 BRAID ROAD,EH10 6AD
estate agent,Boyd,,,Class 4,Class 2,20-24 BRAID ROAD,EH10 6AD
multimedia agency,Connected Digital Media Limited,,,Class 4,Class 4,26 BRAID ROAD,EH10 6AD
web design,Cazinc,Class 4,Vacant,Class 2,Class 4,30 BRAID ROAD,EH10 6AD
electrical contractors,W. Watt McLean,Class 4,Class 4,Class 4,Class 4,36 BRAID ROAD,EH10 6AD
office,Advanced Product Solutions,Class 2,Class 2,Class 2,Class 4,38 BRAID ROAD,EH10 6AD
joiners,Alasdair N. Morrison,Class 4,Class 4,Class 4,Class 4,42 BRAID ROAD,EH10 6AD
delicatessen,Circle,Class 1,Class 1,Class 1,Class 1,1 BRANDON TERRACE,EH3 5EA
post office,Warriston Post Office,,,Class 1,Class 1,2 BRANDON TERRACE,EH3 5EA
bank,Royal Bank of Scotland,Class 2,Class 2,Class 2,Class 2,4-5 BRANDON TERRACE,EH3 5EA
upholsterer,Gayfield Design,,,Class 4,Class 4,6 BRANDON TERRACE,EH3 5EA
carpets,Forth Flooring,,,Class 1,Class 1,7 BRANDON TERRACE,EH3 5EA
cafe,Moo,Class 4,Class 3,Class 3,Class 3,9 BRANDON TERRACE,EH3 5EA
locks & security,Edina Lock & Key Co.,Class 1,Class 1,Class 1,Class 1,10-12 BRANDON TERRACE,EH3 5EA
hairdresser,Phase,Class 1,Class 1,Class 1,Class 1,14-15 BRANDON TERRACE,EH3 5EA
hairdresser (gents),John Hall,Class 4,Class 1,Class 1,Class 1,16 BRANDON TERRACE,EH3 5DZ
antiques,Martinez Antiques,Vacant,Class 1,Class 1,Class 1,17 BRANDON TERRACE,EH3 5DZ
gifts,Calypso,Class 1,Class 1,Class 4,Class 1,19 BRANDON TERRACE,EH3 5DZ
hairdresser,Sandy Jones,Class 1,Class 1,Class 1,Class 1,20 BRANDON TERRACE,EH3 5DZ
kithcens/bathrooms,Napier Interiors,SUI GENERIS,Vacant,,Class 1,21-22 BRANDON TERRACE,EH3 5DZ
n/t/c,R.S. McColl,Class 1,Class 1,Class 1,Class 1,27 BROUGHTON STREET,EH1 3JU
betting shop,Ladbrokes,Class 2,Class 2,Class 2,Class 2,29 BROUGHTON STREET,EH1 3JU
health foods,Real Foods,,,Class 1,Class 1,37 BROUGHTON STREET,EH1 3JU
public house,Treacle,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,39-41 BROUGHTON STREET,EH1 3JU
cafÚ and take-away food,Crolla's,Class 4,Class 2,Class 3,Class 3,43 BROUGHTON STREET,EH1 3JU
vacant,vacant,,,Class 1,Vacant,,
art gallery,Union Gallery,Class 1,Vacant,Class 1,Class 1,45 BROUGHTON STREET,EH1 3JU
juice bar/deli,Urban Angel,,,Class 1,SUI GENERIS,47-47A BROUGHTON STREET,EH1 3RJ
therapy,Essential Therapy,Class 1,Class 1,Class 2,Class 2,49 BROUGHTON STREET,EH1 3RJ
wine merchant,Villeneuve Wines,Class 1,Class 1,Class 1,Class 1,49A BROUGHTON STREET,EH1 3RJ
restaurant,Smokestack,Class 3,Class 3,Class 3,Class 3,53-55 BROUGHTON STREET,EH1 3RJ
cafe,Artisan Roast,Class 1,Class 1,Class 1,Class 3,57 BROUGHTON STREET,EH1 3RJ
residential letting & property management,Broughton Property Management,Class 4,Class 1,,Class 2,61-63 BROUGHTON STREET,EH1 3RJ
hairdresser,Allan Hair,Class 1,Class 1,Class 1,Class 1,65-67 BROUGHTON STREET,EH1 3RJ
adult shop,Organic Pleasures,Vacant,Class 1,Class 1,Class 1,71(1) BROUGHTON STREET,EH1 3RJ
children's nursery,The Edinburgh Nursery,,,Class 10,Class 10,71(1) BROUGHTON STREET,EH1 3RJ
restaurant,Pani Solinska,Class 3,Class 3,Class 3,Class 3,73 BROUGHTON STREET,EH1 3RJ
hot food take-away,Rapido,,,SUI GENERIS,SUI GENERIS,77-79 BROUGHTON STREET,EH1 3RJ
office,Council of British Pakistanis (Scotland),Vacant,Class 2,Class 2,Class 2,79A BROUGHTON STREET,EH1 3RJ
public house,Barony Bar,Vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,81-85 BROUGHTON STREET,EH1 3RJ
florist,Narcissus,Class 1,Class 1,Class 1,Class 1,87 BROUGHTON STREET,EH1 3RJ
vacant,vacant,Class 2,Class 1,Class 1,Vacant,93 BROUGHTON STREET,EH1 3RZ
butcher,Crombies of Edinburgh,,,Class 1,Class 1,97-101 BROUGHTON STREET,EH1 3RZ
chemist,Apple Pharmacy,Class 1,Class 1,Class 1,Class 1,105 BROUGHTON STREET,EH1 3RZ
vacant,vacant,Class 1,Class 1,Vacant,Vacant,109 BROUGHTON STREET,EH1 3RZ
vacant,vacant,Class 1,Class 2,Class 2,Vacant,111 BROUGHTON STREET,EH1 3RZ
"clothing, gifts",Bliss,Vacant,Class 1,Class 1,Class 1,111A BROUGHTON STREET,EH1 3RZ
public house,Cask & Barrel,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,115 BROUGHTON STREET,EH1 3RZ
public house,The Basement,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,10A-12A BROUGHTON STREET,EH1 3RH
dwelling,dwelling,Class 1,Class 1,Vacant,Class 9,48 BRUNSWICK ROAD,EH7 5PF
Vacant,Vacant,Class 1,Vacant,Class 4,Vacant,50 BRUNSWICK ROAD,EH7 5PF
coffee shop,Coffee Angel,Class 1,Vacant,,Class 3,24-27 BRANDON TERRACE,EH3 5DZ
hot food take-away,Pasha,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,9 BREAD STREET,EH3 9AL
hairdresser (gents),Barber Shop,Class 1,Vacant,Class 1,Class 1,9A BREAD STREET,EH3 9AL
cafe,Tea Tree Tea,Class 1,Class 3,Vacant,Class 3,13 BREAD STREET,EH3 9AL
take-away food,Meadowood CafÚ (oriental fast food & juice bar),Vacant,Class 2,Class 1,Class 1,15 BREAD STREET,EH3 9AL
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,19 BREAD STREET,EH3 9AL
amusement arcade,Amusements,Class 1,Class 11,Class 11,Class 11,23 BREAD STREET,EH3 9AL
hot food takeaway,Chicken Cottage,Vacant,Class 1,Class 3,SUI GENERIS,25(GF2)-27 BREAD STREET,EH3 9AL
locks & security,Duncan McLaren,Class 4,Class 1,Class 1,Class 1,29 BREAD STREET,EH3 9AL
cafÚ,CafÚ Plus,SUI GENERIS,Class 3,Class 3,Class 3,33 BREAD STREET,EH3 9AL
massage studio,The Shiatsu Centre,Class 1,Class 1,Class 4,Class 11,35-37 BREAD STREET,EH3 9AL
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,39 BREAD STREET,EH3 9AL
vacant,vacant,Class 1,Class 1,Class 2,Vacant,43 BREAD STREET,EH3 9AH
dry cleaning,Direct Dry Cleaning,Class 1,Class 1,Class 1,Class 1,47 BREAD STREET,EH3 9AH
sex shop,Zone Eros,Class 1,Class 1,Class 1,Class 1,49 BREAD STREET,EH3 9AH
ladies clothing,Smooch,Class 1,Class 1,Class 1,Class 1,51 BREAD STREET,EH3 9AH
vacant,vacant,Class 1,Vacant,Vacant,Vacant,55 BREAD STREET,EH3 9AH
digital imaging & web design studio,Digital Design Scotland,Class 1,Vacant,Class 4,Class 4,61 BREAD STREET,EH3 9AH
vacant,vacant,SUI GENERIS,SUI GENERIS,Vacant,Vacant,65 BREAD STREET,EH3 9AH
n/t/c & grocer,Tollcross Newsagent,Class 4,Class 2,Class 1,Class 1,67 BREAD STREET,EH3 9AH
"restaurant & hot food take-away (fish & chips, pizzas, kebabs, baked potatoes)",Kingfisher,,,Class 3,Class 3,69-71 BREAD STREET,EH3 9AH
vacant,vacant,Vacant,Vacant,Vacant,Vacant,75 BREAD STREET,EH3 9AH
vacant,vacant,Class 1,Vacant,Class 2,Vacant,77 BREAD STREET,EH3 9AH
hairdresser,Vincent Bell,Class 1,Vacant,Class 1,Class 1,6-8 BREAD STREET,EH3 9AF
veterinary surgery,West End Veterinary Partnership,,,Class 2,Class 2,,
vacant,vacant,Class 1,Class 11,Class 11,Vacant,22 BREAD STREET,EH3 9AF
hairdresser,Medusa,,,Class 1,Class 1,26 BREAD STREET,EH3 9AF
public house,The Chanter,,,SUI GENERIS,SUI GENERIS,30 BREAD STREET,EH3 9AF
optician,Brian F. Forde,Class 1,Class 1,Class 1,Class 1,19 BRIGHTON PLACE,EH15 1LH
hairdresser,Shapes,Class 1,Class 1,Class 1,Class 1,21 BRIGHTON PLACE,EH15 1LH
restaurant,Siam Thuni,,,Class 3,Class 3,14 BROUGHTON STREET,EH1 3RH
fishmonger,Something Fishy,Class 1,Class 1,Class 1,Class 1,16A BROUGHTON STREET,EH1 3RH
take-away food,Chequers,Class 1,Class 1,Class 1,Class 1,16B BROUGHTON STREET,EH1 3RH
grocer,Lifestyle Express,Class 1,Class 1,Class 1,Class 1,20 BROUGHTON STREET,EH1 3RH
n/t/c,Broughton Newsagency,Class 1,Class 1,Class 1,Class 1,28 BROUGHTON STREET,EH1 3SB
wine merchant,Vino,Class 1,Class 1,Class 1,Class 1,30 BROUGHTON STREET,EH1 3SB
restaurant,Khushi,Class 1,Class 3,Class 3,Class 3,32B BROUGHTON STREET,EH1 3SB
cafe bar,The Bakehouse,Class 3,Class 3,Class 3,Class 3,32C BROUGHTON STREET,EH1 3SB
hairdresser,boombarbers,Class 1,Class 1,Class 1,Class 1,34 BROUGHTON STREET,EH1 3SB
homelessness/employment support,Move On,,,Vacant,Class 2,34A-36A BROUGHTON STREET,EH1 3SB
restaurant,Hamburger Heaven,Vacant,Class 3,Class 3,Class 3,36 BROUGHTON STREET,EH1 3SB
hairdresser,Alex Hair Studio,Vacant,Class 1,Class 1,Class 1,40 BROUGHTON STREET,EH1 3SB
delicatessen,New Town Deli,Class 1,Class 1,Class 1,Class 1,42 BROUGHTON STREET,EH1 3SA
bookshop (second hand),Broughton Street Bookshop,Class 1,Class 1,Class 1,Class 1,44 BROUGHTON STREET,EH1 3SA
public house,Phoenix,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,46-48A BROUGHTON STREET,EH1 3SA
greengrocer,Shamoon,Class 1,Class 1,Class 1,Class 1,50 BROUGHTON STREET,EH1 3SA
home accessories,Concrete Wardrobe,Class 1,Class 1,Class 1,Class 1,50A BROUGHTON STREET,EH1 3SA
clothing,Joey D,,,Class 1,Class 1,54 BROUGHTON STREET,EH1 3SA
haberdashers,non name on fascia,,,Class 1,Class 1,54A BROUGHTON STREET,EH1 3SA
restaurant,L'Escargot Bleu,,,Class 1,Class 3,56 BROUGHTON STREET,EH1 3SA
beauty salon,Salon LA,Class 2,Vacant,Vacant,Class 1,74 BROUGHTON STREET,EH1 3SA
public house,Outhouse,,,SUI GENERIS,SUI GENERIS,12A BROUGHTON STREET LANE,EH1 3LY
n/t/c,Ali & Son Newsagent,Class 1,Class 1,Class 1,Class 1,2 BRUNSTANE BANK,EH15 2NR
bedroom & kitchen furniture,Brunstane Bedroom & Kitchen Studio,Class 4,Class 1,Class 1,Class 1,4 BRUNSTANE BANK,EH15 2NR
hairdressers,Primary Colours,Vacant,Class 1,Class 1,Class 1,6 BRUNSTANE BANK,EH15 2NR
bedroom & kitchen furniture,Brunstane Bedroom & Kitchen Studio,Class 1,Class 1,Class 1,Class 1,8 BRUNSTANE BANK,EH15 2NR
hot food take-away,Eat alias,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1 BRUNSWICK PLACE,EH7 5HP
grocer / convenience store,Tesco Metro,Class 1,Class 1,Class 1,Class 1,4-6 BRUNSWICK PLACE,EH7 5HW
shoes & footwear,Leith Army Stores,,,Class 1,Class 1,7 BRUNSWICK PLACE,EH7 5HW
clothing and outdoor equipment,Leith Army Stores,,,Class 1,Class 1,9-10 BRUNSWICK PLACE,EH7 5HW
furniture,Magnet,,Class 1,Class 1,Class 1,10B BRUNSWICK PLACE,EH7 5HW
cafÚ,Forest CafÚ,,,Class 3,Class 3,2(GF) BRISTO PLACE,EH1 1EY
china,John Donald & Co.,Class 1,Class 1,Class 1,Class 1,8-10 BRISTO PLACE,EH1 1EY
restaurant (turkish),El Falafel,Vacant,Class 3,Class 3,Class 3,15 BRISTO PLACE,EH1 1EZ
"clinic, health centre (natural / herbal medicine)",Napiers Dispensary,Class 3,Class 3,Class 2,Class 2,,
herbal remedies & therapies,Napiers Dispensary,Class 1,Class 1,Class 1,Class 1,18 BRISTO PLACE,EH1 1EZ
bank,Nat West,,,Class 2,Class 2,,
bank,Bank of Scotland,Class 2,Class 2,Class 2,Class 2,4 BRISTO SQUARE,EH8 9AL
bank,Royal Bank of Scotland,,,Class 1,Class 2,5 BRISTO SQUARE,EH8 9AL
cafÚ,The Deacon's House,Class 3,Class 3,Class 3,Class 3,"3 BRODIE'S CLOSE, ( 304 L",EH1 2PS
grocer / convenience store & post office,Costcutter,,,Class 1,Class 1,37-41 BROOMHALL DRIVE,EH12 7QL
hairdresser,Ro'ann,Class 1,Class 1,Class 1,Class 1,43 BROOMHALL DRIVE,EH12 7QL
tanning salon,Top Tan,Class 1,Class 1,Class 1,Class 1,45 BROOMHALL DRIVE,EH12 7QL
vacant,vacant,Class 1,UNKNOWN USE,Vacant,Vacant,14 BROOMHALL ROAD,EH12 7PB
grocer & n/t/c,Broomhouse Convenience Store,,,Class 1,Class 1,16-18 BROOMHALL ROAD,EH12 7PB
hairdresser (ladies & gents),Bell Hair,Class 1,Class 1,Class 1,Class 1,20 BROOMHALL ROAD,EH12 7PB
greengrocers,Broomhouse Furit & Veg Co-op,Class 1,Class 2,Class 2,Class 1,1-3 BROOMHOUSE MARKET,EH11 3UU
baker,n/a,Class 1,Class 1,Class 1,Class 1,5 BROOMHOUSE MARKET,EH11 3UU
post office,Post Office,,,Class 1,Class 1,7 BROOMHOUSE MARKET,EH11 3UU
vacant,vacant,,,Vacant,Vacant,9 BROOMHOUSE MARKET,EH11 3UU
grocer,Broomhouse Minimarket,Class 1,Class 1,Class 1,Class 1,11 BROOMHOUSE MARKET,EH11 3UU
public house,The Gauntlet Bar and Lounge,,,SUI GENERIS,SUI GENERIS,13 BROOMHOUSE MARKET,EH11 3UU
grocer & n/t/c,Premier Stores,Class 1,Class 1,Class 1,Class 1,367 BROOMHOUSE ROAD,EH11 3TA
copy shop,Copy Cat,Class 1,Class 1,Vacant,Class 4,1 BROUGHAM PLACE,EH3 9HW
tattoo parlour,Red Hot & Blue,Class 1,Class 4,Vacant,Class 2,1A BROUGHAM PLACE,EH3 9HW
vacant,vacant,Class 1,Class 1,Vacant,Vacant,2 BROUGHAM PLACE,EH3 9HW
restaurant (Indian),Bombay Bicycle Club,,,Class 3,Class 3,6-6A BROUGHAM PLACE,EH3 9HW
public house,International Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,15 BROUGHAM PLACE,EH3 9JX
grocer,Zain Halal Food Store,Class 1,Class 1,Class 1,Class 1,15A-17 BROUGHAM PLACE,EH3 9JX
vacant,vacant,Vacant,Vacant,Vacant,Vacant,20 BROUGHAM PLACE,EH3 9JU
vacant,vacant,Class 1,Vacant,Class 1,Vacant,20A BROUGHAM PLACE,EH3 9JU
restaurant (French),La Bagatelle,Class 3,Class 3,Class 3,Class 3,22 BROUGHAM PLACE,EH3 9JU
restaurant (Thai),Passorn,Class 3,Class 3,Class 3,Class 3,23-23A BROUGHAM PLACE,EH3 9JU
home automation systems,System Integration Ltd.,Class 2,Class 2,Class 1,Class 4,25 BROUGHAM PLACE,EH3 9JU
chemist,Co-operative Pharmacy,SUI GENERIS,Class 1,Class 1,Class 1,26 BROUGHAM PLACE,EH3 9JU
post office,Post Office / Sweet Service,Class 1,Class 1,Class 1,Class 1,5 BROUGHAM STREET,EH3 9JS
chiropodist,Brougham Foot Clinic,Class 1,Class 1,Class 2,Class 2,,
vacant,vacant,Class 1,Class 1,Vacant,Vacant,13A BROUGHAM STREET,EH3 9JS
"second-hand cds, tapes, records",Backtracks,Class 1,Class 1,Class 1,Class 1,17 BROUGHAM STREET,EH3 9JS
hot food take-away (kebabs),Turkish Doner Inn,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,17A BROUGHAM STREET,EH3 9JS
