Id,Type,No_Spaces,Installed,Ref,Remarks,Owned_by,Serves,Finish,Image,Public,Easting,Northing,Observed
0,Sheffield extra,2,18991230,210,,CEC,,Black,,Y,325043,672062,
0,Sheffield,4,18991230,211,,CEC,Scotmid,Unfinished,,Y,325490,671991,
0,Sheffield extra,4,18991230,37,,CEC,,Galvanised,,Y,325474,672133,
0,Sheffield extra,8,18991230,213,,CEC,,Black,,Y,325500,672131,
0,Sheffield extra,6,18991230,214,,CEC,Marchmont shops,Galvanised,,Y,325578,672327,
0,Sheffield extra,4,18991230,215,,CEC,,Galvanised,,Y,325664,672310,
0,Sheffield extra,4,18991230,216,,CEC,Waterloo Place/Leith Street shops/cafes/bars,Black,,Y,325904,674033,
0,Sheffield,10,01/09/2008,217,,University of Edinburgh,Informatic Centre,Stainless steel,,Y,325975,673059,
0,Sheffield extra,4,18991230,218,,CEC,St.Patrick Square,,,Y,326170,672906,
0,Sheffield,2,18991230,219,Two racks directly adjacent to wall,CEC,Zoo,,,Y,320869,672856,
0,Sheffield,2,18991230,220,,,Local shops,,,Y,321997,673123,
0,Sheffield,3,18991230,221,Two racks - one against wall,CEC,Local shops,,,Y,321953,673108,
0,Sheffield,2,18991230,222,,CEC,Roseburn shops,,,Y,322962,673222,
0,Sheffield,2,18991230,223,,CEC,Roseburn shops,,,Y,323001,673201,
0,Sheffield (locked cage),64,18991230,224,,University of Edinburgh,NRIE - UoE premises,,,N,328952,670523,
0,Sheffield,26,18991230,225,,,NRIE main entrance,,,Y,329087,670413,
0,Sheffield,16,18991230,226,,,NRIE main entrance,,,Y,329088,670426,
0,Sheffield extra,4,18991230,227,,CEC,,Black,,Y,326884,671525,
0,Sheffield extra,4,18991230,228,,CEC,Local shops,Black,,Y,326713,671843,
0,Bespoke shelter,24,18991230,229,,CEC,CEC - Chesser House,Blue paint,,Y,321930,671703,
0,Bespoke,80,18991230,230,Approximate number of spaces,,Scottish Parliament,Stainless steel,,Y,326825,673806,
0,Bespoke,10,18991230,231,Not clear that they are cycle racks,,Dynamic Earth,,,Y,326681,673734,
0,Bespoke,12,18991230,232,,,,Stainless steel,,Y,326602,673680,
0,Wheel benders,9,18991230,233,,CEC,CEC - West Lothian Chambers,Galvanised,,N,325654,673573,
0,Rail,28,18991230,234,,CEC,CEC - City Chambers,Black paint,,N,325769,673647,
0,Sheffield,4,18991230,235,,,Scotmid - Tollcross,,,Y,324915,672699,
0,Sheffield extra,8,01/02/2008,236,Check number of spaces,CEC,Cameo/Tollcross shops,Galvanised,,Y,324913,672835,
0,Sheffield,2,18991230,237,Check type,,HBoS,,,Y,324939,673007,
0,Sheffield extra,4,18991230,238,,CEC,Castle Terrace,Galvanised,,Y,324990,673365,
0,Sheffield,4,18991230,239,,CEC,West Maitland Street,,,Y,324192,673333,
0,Sheffield,4,18991230,240,,CEC,West Maitland Street,,,Y,324127,673283,
0,Sheffield,6,18991230,241,,,Poetry Library,,,Y,326520,673788,
0,Sheffield,8,18991230,242,,UoE,UoE,Gun metal,,N,326313,673724,
0,Sheffield,6,18991230,243,,UoE,UoE,Gun metal,,N,326316,673722,
0,,6,18991230,244,,UoE?,UoE,Gun metal,,Y,326339,673713,
