"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
"Abercorn Terrace","Portobello East","Pittville Street","Portobello High Street",68.46,1B,P023_Portobello
"Abercorn Terrace","Portobello East","James Street","John Street",107.4,1B,P023_Portobello
"Abercorn Terrace","Portobello East","Brunstane Road North","James Street",106.9,1B,P023_Portobello
"Academy Park",Albion,"Academy Park","End of cul de sac",85,1B,P024_Lochend_Restalr
"Academy Park",Albion,"Easter Road","Academy Park",80.88,1B,P024_Lochend_Restalr
"Academy Street","South Leith","Duke Street","St Andrew Place",90.04,1B,"P025_Leith Route"
"Admiral Terrace",Bruntsfield,"Westhall Gardens","End of cul de sac",68.12,1B,P017_Morningside_Bru
"Afton Terrace",Trinity,"Granton Road","Wardie Road",169.3,1B,P026_Trinity
"Ainslie Place",Stockbridge,"Ainslie Place","Great Stuart Street",59.39,1A,P001_CityCentreNorth
"Ainslie Place",Stockbridge,"Ainslie Place","Glenfinlas Street",30.32,1A,P001_CityCentreNorth
"Albany Street",Broughton,"Dublin Street","Albany Lane",186.3,1A,P001_CityCentreNorth
"Albany Street",Broughton,"Albany Street","Broughton Street",31.9,1A,P001_CityCentreNorth
"Albany Street",Broughton,"Albany Lane","Albany Street",95.34,1A,P001_CityCentreNorth
"Albert Place",Albion,"Albert Place","Brunswick Place",47.1,1B,"P025_Leith Route"
"Albert Place",Albion,"Albert Street","Shrub Place",26.75,1B,"P025_Leith Route"
"Albert Place",Albion,"Shrub Place","Albert Place",57.29,1B,"P025_Leith Route"
"Albert Street",Albion,"Easter Road","Dickson Street",101,1B,"P025_Leith Route"
"Albert Street",Albion,"Murano Place","Shrub Place",79.23,1B,"P025_Leith Route"
"Albert Street",Albion,"Albert Street","Albert Street",69.12,1B,"P025_Leith Route"
"Albert Street",Albion,"South Sloan Street","Albert Street",106.2,1B,"P025_Leith Route"
"Albert Street",Albion,"Dickson Street","South Sloan Street",99.19,1B,"P025_Leith Route"
"Albert Street",Albion,"Albert Street","Murano Place",33.08,1B,"P025_Leith Route"
"Albert Street",Albion,"South Sloan Street","South Sloan Street",18.03,1B,"P025_Leith Route"
"Albion Place",Albion,"Hawkhill Avenue","Albion Road",185,1B,P024_Lochend_Restalr
"Albion Road",Albion,"Albion Road","End of cul de sac",124.1,1B,P024_Lochend_Restalr
"Albion Road",Albion,"Albion Place","Easter Road",216.5,1B,P024_Lochend_Restalr
"Albion Road",Albion,"Albion Terrace","Albion Road",174.2,1B,P024_Lochend_Restalr
"Albion Road",Albion,"Albion Place","Albion Terrace",71.63,1B,P024_Lochend_Restalr
"Alcorn Square","Wester Hailes","Alcorn Square","Alcorn Square",136.4,1B,P011_Wester_Hailes
"Alcorn Square","Wester Hailes","Clovenstone Park","Alcorn Square",34.73,1B,P011_Wester_Hailes
"Alcorn Square","Wester Hailes","Alcorn Square","Alcorn Square",40.69,1B,P011_Wester_Hailes
"Alemoor Crescent",Lochend,"Alemoor Crescent","Alemoor Park",90.91,1B,P024_Lochend_Restalr
"Alemoor Park",Lochend,"Restalrig Road","Alemoor Crescent",104.4,1B,P024_Lochend_Restalr
"Alemoor Park",Lochend,"Alemoor Crescent","Alemoor Park",28.9,1B,P024_Lochend_Restalr
Anchorfield,Newhaven,"Lindsay Road","End of cul de sac",71.26,1B,"P025_Leith Route"
"Angle Park Terrace",Gorgie,"West Approach Road","Ardmillan Place",113.1,1B,P029_Gorgie_Slatefor
"Angle Park Terrace",Gorgie,"Harrison Road","Ardmillan Place",165.7,1B,P029_Gorgie_Slatefor
"Annandale Street",Broughton,"Annandale Street","Hopetoun Street",204,1B,"P025_Leith Route"
"Annandale Street",Broughton,"Elm Row","Annandale Street",143.4,1B,"P025_Leith Route"
"Annandale Street",Broughton,"East London Street","East London Street",67.85,1B,"P025_Leith Route"
"Annandale Street",Broughton,"Annandale Street","Hopetoun Street",84.24,1B,"P025_Leith Route"
"Annandale Street",Broughton,"Annandale Street","Bellevue Road",65.19,1B,"P025_Leith Route"
