"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
"Musselburgh Road",Joppa,"Seaview Crescent","Coillesdene Drive",87.25,1B,P023_Portobello
"Muttonhole Gate",Drylaw,"Caledonian Cycle Track","Muttonhole Gate",1242,1B,CYC001_North
"Muttonhole Gate",Drylaw,"Silverknowes Road","Muttonhole Gate",624.7,1B,CYC001_North
"Myreside Road",Morningside,"Merchiston Gardens","Craighouse Road",461,1B,P017_Morningside_Bru
"Nether Currie Road",Riccarton/muirwood,"Thomson Road","Thomson Grove",143.6,1A,P008_Currie
"Nether Currie Road",Riccarton/muirwood,"Thomson Grove","Muir Wood Road",161.5,1A,P008_Currie
"New Market Road",Slateford,"Chesser Avenue","End of cul de sac",96.24,1B,P029_Gorgie_Slatefor
"New Market Road",Slateford,"New Mart Road","End of cul de sac",122.7,1B,P029_Gorgie_Slatefor
"New Mart Road",Slateford,"Hutchison Road","New Market Road",78.04,1B,P029_Gorgie_Slatefor
"New Street","Old Town","East Market Street",Canongate,72.28,1B,CYC002_CityIR
"New Street","Old Town","East Market Street","Calton Road",142.2,1B,CYC002_CityIR
"New Swanston",Redford,"Oxgangs Road","New Swanston",64.68,1A,P005_Fairmilehead
"New Swanston",Redford,"New Swanston","Tryst Park",35,1A,P005_Fairmilehead
"New Swanston",Redford,"Tryst Park","Howe Park",64.5,1A,P005_Fairmilehead
"New Swanston",Redford,"Howe Park","Hainburn Park",178.5,1A,P005_Fairmilehead
"New Swanston",Redford,"Hainburn Park","New Swanston",22.12,1A,P005_Fairmilehead
"New Swanston",Redford,"New Swanston","New Swanston",120.4,1A,P005_Fairmilehead
"Newbattle Terrace",Newbattle,"Morningside Road","Falcon Gardens",275.3,1B,P017_Morningside_Bru
"Newbattle Terrace",Newbattle,"Falcon Gardens","Pitsligo Road",68.26,1B,P017_Morningside_Bru
"Newbattle Terrace",Newbattle,"Pitsligo Road","End of cul de sac",17.38,1B,P017_Morningside_Bru
"Newbattle Terrace",Newbattle,"Eden Lane","Grange Loan",123.6,1B,P017_Morningside_Bru
"Newcraighall Drive",Newcraighall,"Newcraighall Drive","Park Terrace",88.57,1B,P023_Portobello
"Newcraighall Drive",Newcraighall,"Park View","End of cul de sac",63.06,1B,P023_Portobello
"Newcraighall Drive",Newcraighall,"Klondyke Way","Park View",64.91,1B,P023_Portobello
"Newcraighall Drive",Newcraighall,"Whitehill Street","Klondyke Way",65.62,1B,P023_Portobello
"Newcraighall Road",,"Newcraighall Road","Musselburgh By-pass",128.5,1B,P023_Portobello
"Newcraighall Road",,"Newcraighall Road","Blackchapel Close",86.41,1B,P023_Portobello
"Newcraighall Road",,,"Whitehill Street",361.6,1B,P023_Portobello
"Newcraighall Road",,"Peacocktail Close","Niddrie Mains Road",183.1,1B,P023_Portobello
"Newcraighall Road",,"Musselburgh By-pass","Newcraighall Road",119.2,1B,P023_Portobello
"Newcraighall Road",,"Newcraighall Drive","Newcraighall Road",115.1,1B,P023_Portobello
"Newcraighall Road",,"Blackchapel Close","Peacocktail Close",109.6,1B,P023_Portobello
"Newcraighall Road",,"Newcraighall Road","Newcraighall Road",164.1,1B,P023_Portobello
"Newcraighall Road",,"Newcraighall Road","Newcraighall Road",78.35,1B,P023_Portobello
"Newcraighall Road",,"Newcraighall Road","Newcraighall Road",80.28,1B,P023_Portobello
"Newcraighall Road",,"Newcraighall Road","Newcraighall Road",145.4,1B,P023_Portobello
"Newcraighall Road",,"Newcraighall Road","Newcraighall Road",157,1B,P023_Portobello
"Newhalls Road","South Queensferry","Edinburgh Road","Hawes Brae",485.4,1B,"P015_South Queensfer"
"Newhaven Main Street",Newhaven,Annfield,"Willowbank Row",35.52,1B,P026_Trinity
"Newhaven Main Street",Newhaven,"Andrew Wood Court","End of cul de sac",68.04,1B,P026_Trinity
"Newhaven Main Street",Newhaven,"Willowbank Row","Fishmarket Square",80.9,1B,P026_Trinity
"Newhaven Main Street",Newhaven,"Fishmarket Square","Andrew Wood Court",114.1,1B,P026_Trinity
"Newhaven Road",Newhaven,Hawthornvale,"Park Road",85.24,1B,P026_Trinity
"Newhaven Road",Newhaven,Hawthornvale,"Dudley Crescent",138.8,1B,P026_Trinity
"Newhaven Road",Newhaven,"Dudley Gardens","Summerside Place",90.23,1B,P026_Trinity
"Newhaven Road",Newhaven,"Summerside Place","Ferry Road",192.6,1B,P026_Trinity
"Newhaven Road",Newhaven,"Park Road","Newhaven Main Street",113.9,1B,P026_Trinity
"Newhaven Road",Newhaven,"Dudley Crescent","Dudley Gardens",162.1,1B,P026_Trinity
"Newington Road",Newington,"West Newington Place","Salisbury Road",108.7,1B,P018_Sciennes_Newing
"Newington Road",Newington,"East Preston Street","West Newington Place",112.8,1B,P018_Sciennes_Newing
Newkirkgate,"North Leith",Newkirkgate,Kirkgate,128.1,1B,"P025_Leith Route"
Newkirkgate,"North Leith",Newkirkgate,"Leith Walk",40.6,1B,"P025_Leith Route"
"Newliston Road",Kirkliston,"Path Brae","Gateside Road",125.9,1B,P016_Kirk_Newbdg_Rat
"Newtoft Street","Hyvots Bank","Drum Street","Hyvot Bank Avenue",161.1,1A,P004_Inch_Moredun
"Newtoft Street","Hyvots Bank","Hyvot Bank Avenue","Gilmerton Dykes Street",158.7,1A,P004_Inch_Moredun
"Newtoft Street","Hyvots Bank","Gilmerton Dykes Street","Gilmerton Dykes Road",105.2,1A,P004_Inch_Moredun
"Nicolson Street",Newington,"Nicolson Square","Nicolson Square",32.7,1B,CYC002_CityIR
"Nicolson Street",Newington,"West Nicolson Street","Nicolson Square",108.3,1B,CYC002_CityIR
"Nicolson Street",Newington,"South College Street","Nicolson Square",120.7,1B,CYC002_CityIR
"Nicolson Street",Newington,"West Crosscauseway","West Richmond Street",152,1B,CYC002_CityIR
"Niddrie Farm Grove",Craigmillar,"Craigmillar Castle Avenue","Niddrie Farm Grove",136.7,1B,P021_Duddingston
"Niddrie Farm Grove",Craigmillar,"Niddrie Farm Grove","End of cul de sac",42.49,1B,P021_Duddingston
"Niddrie Mains Road",Craigmillar,"Wauchope Terrace","Greendykes Road",37,1B,P021_Duddingston
"Niddrie Mains Road",Craigmillar,"Niddrie Mains Road","Niddrie Marischal Road",94.24,1B,P021_Duddingston
"Niddrie Mains Road",Craigmillar,"Niddrie Mains Road","Niddrie Mains Road",194.9,1B,P021_Duddingston
"Niddrie Mains Road",Craigmillar,"Newcraighall Road","Niddrie Mains Road",204,1B,P021_Duddingston
"Niddrie Mains Road",Craigmillar,"Greendykes Road","Craigmillar Castle Avenue",156,1B,P021_Duddingston
"Niddrie Mains Road",Craigmillar,"Craigmillar Castle Avenue","Niddrie Mains Road",168.9,1B,P021_Duddingston
"Niddrie Mains Road",Craigmillar,"Niddrie Mains Road","Craigmillar Castle Loan",203.3,1B,P021_Duddingston
"Niddrie Mains Road",Craigmillar,"Craigmillar Castle Loan","Duddingston Road West",185.3,1B,P021_Duddingston
"Niddrie Mains Road",Craigmillar,"Niddrie Marischal Road","Wauchope Terrace",502.4,1B,P021_Duddingston
"Niddrie Mains Terrace",Niddrie,"Harewood Drive","Wauchope Terrace",271.3,1B,P021_Duddingston
"Niddrie Mains Terrace",Niddrie,"Wauchope Terrace","End of cul de sac",47.11,1B,P021_Duddingston
"North Bank Street","Old Town","Mound Place","St Giles Street",98.84,1A,P001_CityCentreNorth
"North Bridge","Old Town","Princes Street","East Market Street",228.8,1A,P001_CityCentreNorth
"North Bridge","Old Town","East Market Street","High Street",139.6,1A,P001_CityCentreNorth
"North Bughtlin Place",Bughtlin,"Maybury Drive","Maybury Drive",64.76,1B,P014_Clermiston_Cram
"North Bughtlin Road",Bughtlin,"North Bughtlinfield","North Bughtlin Road",28.39,1B,P014_Clermiston_Cram
"North Bughtlin Road",Bughtlin,"North Bughtlinside","North Bughtlinfield",19.17,1B,P014_Clermiston_Cram
"North Bughtlin Road",Bughtlin,"North Bughtlin Road","North Bughtlinside",13.31,1B,P014_Clermiston_Cram
"North Bughtlin Road",Bughtlin,"North Bughtlin Gate","North Bughtlin Road",82.65,1B,P014_Clermiston_Cram
"North Bughtlin Road",Bughtlin,"Maybury Drive","North Bughtlin Gate",101.6,1B,P014_Clermiston_Cram
"North Castle Street","New Town","Hill Street","George Street",75.97,1A,P001_CityCentreNorth
"North Castle Street","New Town","Hill Street","Queen Street",82.72,1A,P001_CityCentreNorth
"North Charlotte Street","New Town","St Colme Street","Charlotte Square",99.71,1A,P001_CityCentreNorth
"North Fort Street",Newhaven,"Hawthornbank Place","Dudley Bank",93.15,1B,"P025_Leith Route"
"North Fort Street",Newhaven,"Dudley Bank",Anchorfield,137.1,1B,"P025_Leith Route"
"North Fort Street",Newhaven,"Ferry Road","Industry Lane",82.86,1B,"P025_Leith Route"
"North Fort Street",Newhaven,"Industry Lane","Lapicide Place",71.72,1B,"P025_Leith Route"
"North Fort Street",Newhaven,"Lapicide Place","Hawthornbank Place",164.8,1B,"P025_Leith Route"
"North Gyle Road","North Gyle","North Gyle Loan","North Gyle Drive",89.01,1B,P013_Corstorphine
"North Gyle Road","North Gyle","Craigs Road","North Gyle Loan",197,1B,P013_Corstorphine
"North Gyle Road","North Gyle","North Gyle Drive","North Gyle Avenue",84.01,1B,P013_Corstorphine
"North Gyle Road","North Gyle","North Gyle Avenue","Glasgow Road",50.43,1B,P013_Corstorphine
"North Junction Street","North Leith","Great Junction Street","Admiralty Street",87.56,1B,"P025_Leith Route"
"North Junction Street","North Leith","North Junction Street","Commercial Street",82.56,1B,"P025_Leith Route"
"North Junction Street","North Leith","Admiralty Street","Hopefield Terrace",151.7,1B,"P025_Leith Route"
"North Meadow Walk",Newington,"End of cul de sac","Coronation Walk",241.1,1B,P017_Morningside_Bru
"North St Andrew Street","New Town","Dublin Street","St Andrew Square",113.7,1A,P001_CityCentreNorth
"North St David Street","New Town","St Andrew Square","Thistle Street",36.69,1A,P001_CityCentreNorth
"North St David Street","New Town","Queen Street","Thistle Street",80.79,1A,P001_CityCentreNorth
"North Street",Ratho/newbridge,"Main Street","Craigpark Avenue",342.7,1B,P016_Kirk_Newbdg_Rat
"North West Circus Place",Stockbridge,"Royal Circus","Circus Lane",59.48,1B,P027_Stockbridge
"North West Circus Place",Stockbridge,"Circus Lane","India Place",38.93,1B,P027_Stockbridge
"North West Circus Place",Stockbridge,"St Stephen Street","India Place",34.22,1B,P027_Stockbridge
"Northfield Broadway",Mountcastle,"Northfield Drive","Willowbrae Road",51.43,1B,P022_Northfield
"Northfield Broadway",Mountcastle,"Piersfield Place","Mountcastle Green",261.8,1B,P022_Northfield
"Northfield Broadway",Mountcastle,"Northfield Farm Avenue","Northfield Drive",100.5,1B,P022_Northfield
"Northfield Broadway",Mountcastle,"Northfield Road","Northfield Avenue",156.8,1B,P022_Northfield
"Northfield Broadway",Mountcastle,"Northfield Gardens","Northfield Farm Avenue",130.4,1B,P022_Northfield
"Northfield Broadway",Mountcastle,"Mountcastle Green","Northfield Road",142.9,1B,P022_Northfield
"Northfield Broadway",Mountcastle,"Northfield Square","Northfield Gardens",97.85,1B,P022_Northfield
"Northfield Broadway",Mountcastle,"Northfield Avenue","Northfield Square",99.91,1B,P022_Northfield
"Northfield Drive",Mountcastle,"Northfield Drive","Northfield Broadway",89.15,1B,P022_Northfield
"Northfield Drive",Mountcastle,"Northfield Grove","Northfield Drive",137.5,1B,P022_Northfield
"Northfield Drive",Mountcastle,"Northfield Drive","Mountcastle Drive North",226.3,1B,P022_Northfield
"Northfield Drive",Mountcastle,"Northfield Drive","Northfield Drive",81.63,1B,P022_Northfield
"Northfield Drive",Mountcastle,"Northfield Drive","Northfield Grove",103.9,1B,P022_Northfield
"Northfield Road",Mountcastle,"The North Way","Northfield Broadway",105.7,1B,P022_Northfield
"Northfield Road",Mountcastle,"Northfield Avenue","The North Way",194.5,1B,P022_Northfield
"Northfield Road",Mountcastle,"Northfield Avenue","Willowbrae Road",157.6,1B,P022_Northfield
Oakdale,Balerno,"Bavelaw Road",Orrvale,87.77,1A,P007_Balerno
"Ocean Drive",Newhaven,"End of cul de sac","Portland Place",145.7,1B,"P025_Leith Route"
"Ocean Drive",Newhaven,"Portland Place","Ocean Drive",146.8,1B,"P025_Leith Route"
"Ocean Drive",Newhaven,"Ocean Drive","Ocean Drive",244.5,1B,"P025_Leith Route"
"Ocean Drive",Newhaven,"End of cul de sac","Ocean Drive",246.9,1B,"P025_Leith Route"
"Old Dalkeith Road",Edinburgh,"Old Dalkeith Road","Old Dalkeith Road",29.38,1B,P018_Sciennes_Newing
"Old Dalkeith Road",Edinburgh,"Old Dalkeith Road","Old Dalkeith Road",211.5,1B,P018_Sciennes_Newing
"Old Dalkeith Road",Edinburgh,"Cameron Toll","Old Dalkeith Road",251.5,1B,P018_Sciennes_Newing
"Old Dalkeith Road",Edinburgh,"Moredunvale Road","Little France Drive",76.07,1A,P004_Inch_Moredun
"Old Dalkeith Road",Edinburgh,"Old Dalkeith Road","Old Dalkeith Road",216.1,1B,P018_Sciennes_Newing
"Old Dalkeith Road",Edinburgh,"Old Dalkeith Road","Walter Scott Avenue",161.1,1B,P018_Sciennes_Newing
"Old Dalkeith Road",Edinburgh,"Little France Mills","Moredunvale Road",119.5,1A,P004_Inch_Moredun
"Old Dalkeith Road",Edinburgh,"Craigmillar Castle Road","Little France Mills",247.2,1A,P004_Inch_Moredun
"Old Dalkeith Road",Edinburgh,"Kingston Avenue","Craigmillar Castle Road",178.9,1A,P004_Inch_Moredun
"Old Dalkeith Road",Edinburgh,"Walter Scott Avenue","Kingston Avenue",380.9,1B,P018_Sciennes_Newing
"Old Dalkeith Road",Edinburgh,"Little France Drive","Old Dalkeith Road",614.4,1A,P004_Inch_Moredun
"Old Dalkeith Road",Edinburgh,"Old Dalkeith Road","Old Dalkeith Road",363.4,1A,P004_Inch_Moredun
"Old Liston Road",Ratho/newbridge,Parkside,"Old Liston Road",28.36,1B,P016_Kirk_Newbdg_Rat
"Old Liston Road",Ratho/newbridge,"Old Liston Road","Old Liston Road",46.25,1B,P016_Kirk_Newbdg_Rat
"Old Liston Road",Ratho/newbridge,"Bridge Street",Parkside,103,1B,P016_Kirk_Newbdg_Rat
"Old Liston Road",Ratho/newbridge,"Edinburgh Road","Bridge Street",149.5,1B,P016_Kirk_Newbdg_Rat
"Orchard Brae",Stockbridge,"Orchard Brae Avenue","Queensferry Road",106.8,1B,P027_Stockbridge
"Orchard Brae",Stockbridge,"Orchard Brae West","Orchard Brae Avenue",277.8,1B,P027_Stockbridge
"Orchard Brae",Stockbridge,"Comely Bank Roundabout","Orchard Brae West",66.62,1B,P027_Stockbridge
Orrvale,Balerno,"Main Street",Oakdale,32.52,1A,P007_Balerno
"Osborne Terrace",Dalry,"Devon Place","Donaldson Crescent",212.6,1B,P028_Roseburn
"Oswald Road",Newbattle,"Mortonhall Road","Charterhall Road",153.5,1B,P017_Morningside_Bru
"Oswald Road",Newbattle,"South Oswald Road","Mortonhall Road",131.4,1B,P017_Morningside_Bru
"Oswald Road",Newbattle,"Oswald Court","South Oswald Road",72.09,1B,P017_Morningside_Bru
"Oswald Road",Newbattle,"Kilgraston Road","Oswald Court",147.8,1B,P017_Morningside_Bru
"Oxgangs Avenue",Firrhill,"Greenbank Crescent","Oxgangs Crescent",134.4,1A,P006_Oxgangs
"Oxgangs Avenue",Firrhill,"Oxgangs Crescent","Oxgangs Avenue",55.5,1A,P006_Oxgangs
"Oxgangs Avenue",Firrhill,"Oxgangs Avenue","Oxgangs Green",164.8,1A,P006_Oxgangs
"Oxgangs Avenue",Firrhill,"Oxgangs Green","Oxgangs Crescent",81.17,1A,P006_Oxgangs
"Oxgangs Avenue",Firrhill,"Oxgangs Crescent","Oxgangs Rise",64.17,1A,P006_Oxgangs
"Oxgangs Avenue",Firrhill,"Oxgangs Rise","Oxgangs Street",112.8,1A,P006_Oxgangs
"Oxgangs Avenue",Firrhill,"Oxgangs Street","Oxgangs Place",65.02,1A,P006_Oxgangs
"Oxgangs Avenue",Firrhill,"Oxgangs Place","Oxgangs Road North",86.98,1A,P006_Oxgangs
"Oxgangs Bank",Caiystane,"Oxgangs Broadway","Oxgangs Street",13.04,1A,P006_Oxgangs
"Oxgangs Bank",Caiystane,"Oxgangs Broadway","Oxgangs Park",31.26,1A,P006_Oxgangs
"Oxgangs Bank",Caiystane,"Oxgangs Bank","Oxgangs View",137.6,1A,P006_Oxgangs
"Oxgangs Bank",Caiystane,"Caiystane Gardens","Oxgangs Bank",109.1,1A,P006_Oxgangs
"Oxgangs Bank",Caiystane,"Oxgangs View","Oxgangs Broadway",146.2,1A,P006_Oxgangs
"Oxgangs Bank",Caiystane,"Oxgangs Park","Oxgangs Broadway",57.7,1A,P006_Oxgangs
"Oxgangs Bank",Caiystane,"Oxgangs Street","Oxgangs Road North",72.35,1A,P006_Oxgangs
"Oxgangs Brae",Caiystane,"Oxgangs Medway","Caiystane Gardens",84.63,1A,P006_Oxgangs
"Oxgangs Brae",Caiystane,"Oxgangs Path","Oxgangs Medway",82.52,1A,P006_Oxgangs
"Oxgangs Brae",Caiystane,"Oxgangs Path","Oxgangs Broadway",84.21,1A,P006_Oxgangs
"Oxgangs Broadway",Caiystane,"Oxgangs Bank","Oxgangs Brae",71.03,1A,P006_Oxgangs
"Oxgangs Crescent",Firrhill,"Firrhill Drive","Oxgangs Avenue",224.2,1A,P006_Oxgangs
"Oxgangs Crescent",Firrhill,"Oxgangs Drive","Firrhill Drive",82.17,1A,P006_Oxgangs
"Oxgangs Crescent",Firrhill,"Oxgangs Grove","Oxgangs Drive",77.19,1A,P006_Oxgangs
"Oxgangs Crescent",Firrhill,"Oxgangs Avenue","Oxgangs Grove",70.32,1A,P006_Oxgangs
"Oxgangs Farm Drive",Oxgangs,"End of cul de sac","Oxgangs Farm Grove",50.21,1A,P006_Oxgangs
"Oxgangs Farm Drive",Oxgangs,"Oxgangs Farm Terrace","Oxgangs Road North",77.01,1A,P006_Oxgangs
"Oxgangs Farm Drive",Oxgangs,"Oxgangs Farm Grove","Oxgangs Farm Terrace",211.6,1A,P006_Oxgangs
"Oxgangs Farm Drive",Oxgangs,"Oxgangs Farm Grove","Oxgangs Farm Avenue",85.01,1A,P006_Oxgangs
"Oxgangs Farm Drive",Oxgangs,"Oxgangs Farm Avenue","Oxgangs Farm Grove",65.23,1A,P006_Oxgangs
"Oxgangs Green",Pentland,"Oxgangs Green","End of cul de sac",78.17,1A,P006_Oxgangs
"Oxgangs Green",Pentland,"Oxgangs Avenue","Oxgangs Hill",109.4,1A,P006_Oxgangs
"Oxgangs Green",Pentland,"Oxgangs Green","Oxgangs Green",30.78,1A,P006_Oxgangs
"Oxgangs Green",Pentland,"Oxgangs Green","Oxgangs Hill",57.43,1A,P006_Oxgangs
"Oxgangs Medway",Caiystane,"Oxgangs View","Oxgangs Bank",99.2,1A,P006_Oxgangs
"Oxgangs Park",Caiystane,"Oxgangs Rise","Oxgangs Row",102.7,1A,P006_Oxgangs
"Oxgangs Park",Caiystane,"Oxgangs Bank","Oxgangs Row",85.52,1A,P006_Oxgangs
"Oxgangs Path",Caiystane,"Oxgangs Road North","Oxgangs Brae",88.9,1A,P006_Oxgangs
"Oxgangs Rise",Caiystane,"Oxgangs Avenue","Oxgangs Park",135.1,1A,P006_Oxgangs
"Oxgangs Road",Swanston,"Swanston Avenue","Caiystane View",35.01,1A,P005_Fairmilehead
"Oxgangs Road",Swanston,"Redford Road","Oxgangs Path",59.91,1A,P006_Oxgangs
"Oxgangs Road",Swanston,"Fairmile Avenue","Biggar Road",183.1,1A,P005_Fairmilehead
"Oxgangs Road",Swanston,"Swanston Avenue","Fairmile Avenue",339.7,1A,P005_Fairmilehead
"Oxgangs Road",Swanston,"Caiystane View","Caiystane Drive",252.2,1A,P005_Fairmilehead
"Oxgangs Road",Swanston,"Caiystane Drive","New Swanston",187.6,1A,P005_Fairmilehead
"Oxgangs Road",Swanston,"New Swanston","Redford Road",245.7,1A,P005_Fairmilehead
"Oxgangs Road North",Oxgangs,"End of cul de sac","Oxgangs Road North",33.84,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Oxgangs Road North","Oxgangs Road North",199.9,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Oxgangs Avenue","Oxgangs Farm Drive",90.32,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Oxgangs Road North","End of cul de sac",147.6,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Oxgangs Bank","Oxgangs Street",53.86,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Oxgangs Farm Avenue","Oxgangs Bank",55.8,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Oxgangs Path","Oxgangs Farm Avenue",70.51,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Oxgangs Farm Drive","Oxgangs Street",156.5,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Oxgangs Road North","Oxgangs Avenue",118.7,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Oxgangs Road North","Colinton Mains Place",189.6,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Colinton Mains Place","Colinton Mains Terrace",148.2,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Colinton Mains Terrace","Colinton Mains Road",66.51,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Colinton Mains Road","Firrhill Loan",162.5,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Firrhill Loan","Firrhill Crescent",104.9,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Firrhill Crescent","Colinton Mains Gardens",137.2,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Colinton Mains Gardens","Colinton Mains Drive",188.9,1A,P006_Oxgangs
"Oxgangs Road North",Oxgangs,"Colinton Road","Colinton Mains Drive",175.7,1A,P006_Oxgangs
"Oxgangs View",Caiystane,"Oxgangs View","Oxgangs Bank",132.5,1A,P006_Oxgangs
"Oxgangs View",Caiystane,"Oxgangs Medway","Oxgangs View",57.14,1A,P006_Oxgangs
"Paisley Crescent",Willowbrae,"Ulster Drive","Ulster Crescent",168.3,1B,P022_Northfield
"Paisley Crescent",Willowbrae,"Abercorn Crescent","Ulster Drive",176.4,1B,P022_Northfield
"Paisley Crescent",Willowbrae,"Willowbrae Avenue","Abercorn Crescent",45.19,1B,P022_Northfield
"Paisley Drive",Duddingston,"Willowbrae Road","Meadowfield Avenue",100.2,1B,P022_Northfield
"Paisley Drive",Duddingston,"Paisley Avenue","Meadowfield Drive",100.6,1B,P022_Northfield
"Paisley Drive",Duddingston,"Meadowfield Avenue","Ulster Gardens",27.51,1B,P022_Northfield
"Paisley Drive",Duddingston,"Meadowfield Court","Lady Nairne Loan",77.16,1B,P022_Northfield
"Paisley Drive",Duddingston,"Ulster Gardens","Meadowfield Court",57.25,1B,P022_Northfield
"Paisley Drive",Duddingston,"Lady Nairne Loan","Paisley Avenue",22.64,1B,P022_Northfield
"Palmer Place",Curriehill,"Palmer Road","Palmer Place",78.52,1A,P007_Balerno
"Palmer Place",Curriehill,"Palmer Place","Forth View Crescent",65.57,1A,P007_Balerno
"Palmer Road",Curriehill,"Palmer Place","Palmer Road",65.87,1A,P007_Balerno
"Palmer Road",Curriehill,"Palmer Road","Forth View Crescent",66.57,1A,P007_Balerno
"Parkgrove Avenue",Barnton,"Parkgrove Drive","Parkgrove Gardens",81.79,1B,P014_Clermiston_Cram
"Parkgrove Avenue",Barnton,"Parkgrove Drive","Queensferry Road",106.4,1B,P014_Clermiston_Cram
"Parkgrove Avenue",Barnton,"Parkgrove Terrace","Parkgrove Gardens",71.59,1B,P014_Clermiston_Cram
"Parkgrove Place",Barnton,"Parkgrove Terrace","Parkgrove Street",209.9,1B,P014_Clermiston_Cram
"Parkgrove Street",Barnton,"Parkgrove Street","Parkgrove Place",21.38,1B,P014_Clermiston_Cram
"Parkgrove Street",Barnton,"Parkgrove Street","Parkgrove Terrace",56.89,1B,P014_Clermiston_Cram
"Parkgrove Street",Barnton,"Parkgrove Place","Parkgrove Street",22.56,1B,P014_Clermiston_Cram
"Parkgrove Street",Barnton,"Clermiston Avenue","Parkgrove Street",58.05,1B,P014_Clermiston_Cram
"Parkgrove Street",Barnton,"Queensferry Road","Clermiston Avenue",91.04,1B,P014_Clermiston_Cram
"Parkgrove Terrace",Barnton,"Clermiston Green","Clermiston Drive",81.49,1B,P014_Clermiston_Cram
"Parkgrove Terrace",Barnton,"Parkgrove Path","Clermiston Green",44.58,1B,P014_Clermiston_Cram
"Parkgrove Terrace",Barnton,"Parkgrove Street","Parkgrove Path",73.59,1B,P014_Clermiston_Cram
"Parkgrove Terrace",Barnton,"Parkgrove Street","Parkgrove Place",136.7,1B,P014_Clermiston_Cram
"Parkgrove Terrace",Barnton,"Parkgrove Place","Parkgrove Road",63.56,1B,P014_Clermiston_Cram
"Parkgrove Terrace",Barnton,"Parkgrove Avenue","Parkgrove Bank",32.56,1B,P014_Clermiston_Cram
"Parkgrove Terrace",Barnton,"Parkgrove Green","Parkgrove Road",84.43,1B,P014_Clermiston_Cram
"Parkgrove Terrace",Barnton,"Parkgrove View","Parkgrove Green",27.55,1B,P014_Clermiston_Cram
"Parkgrove Terrace",Barnton,"Parkgrove Row","Parkgrove View",27.46,1B,P014_Clermiston_Cram
"Parkgrove Terrace",Barnton,"Parkgrove Bank","Parkgrove Row",53.23,1B,P014_Clermiston_Cram
"Parkhead Drive",Parkhead,"Murrayburn Road","Parkhead Drive",22.67,1B,P011_Wester_Hailes
"Parkhead Drive",Parkhead,"Parkhead Loan","Parkhead Drive",21.06,1B,P011_Wester_Hailes
"Parkhead Drive",Parkhead,"Parkhead Loan","Parkhead Crescent",85.4,1B,P011_Wester_Hailes
"Parkhead Drive",Parkhead,"Parkhead View","Sighthill Drive",144.8,1B,P011_Wester_Hailes
"Parkhead Drive",Parkhead,"Parkhead Crescent","Parkhead View",175.5,1B,P011_Wester_Hailes
Parkside,Newbridge,"Old Liston Road",Riverside,90.85,1B,P016_Kirk_Newbdg_Rat
"Parsons Green Terrace",Willowbrae,"Hillend Place","Parsons Green Terrace",134.7,1B,P024_Lochend_Restalr
"Parsons Green Terrace",Willowbrae,"Parsons Green Terrace","London Road",38.01,1B,P024_Lochend_Restalr
"Parsons Green Terrace",Willowbrae,"Meadowbank Crescent","Parsons Green Terrace",62.64,1B,P022_Northfield
"Path Brae",Kirkliston,"The Square","Newliston Road",141.4,1B,P016_Kirk_Newbdg_Rat
"Peffer Place",Craigmillar,"North Peffer Place","Harewood Road",149.8,1B,P021_Duddingston
"Peffer Place",Craigmillar,"Cairntows Close","North Peffer Place",54.26,1B,P021_Duddingston
"Peffer Place",Craigmillar,"Duddingston Road West","Cairntows Close",66.32,1B,P021_Duddingston
"Peffermill Road",Prestonfield,"Cameron House Avenue","Cameron Terrace",30.58,1B,P021_Duddingston
"Peffermill Road",Prestonfield,"King's Haugh","Prestonfield Avenue",388.9,1B,P021_Duddingston
"Peffermill Road",Prestonfield,"Prestonfield Avenue","Cameron House Avenue",360.7,1B,P021_Duddingston
"Peffermill Road",Prestonfield,"Craigmillar Castle Gardens","King's Haugh",273.8,1B,P021_Duddingston
"Peffermill Road",Prestonfield,"Duddingston Road West","Craigmillar Castle Gardens",281.6,1B,P021_Duddingston
"Pennywell Gardens",Muirhouse,"Pennywell Gardens","Pennywell Gardens",124.4,1B,P019_DavidsonMains_P
"Pennywell Gardens",Muirhouse,"Pennywell Gardens","Pennywell Gardens",118.3,1B,P019_DavidsonMains_P
"Pennywell Gardens",Muirhouse,"Pennywell Road","Pennywell Gardens",102.7,1B,P019_DavidsonMains_P
