Location,"Reference No",Position
"Calder Road",17404113,"In service road against railings at top of west ramp to subway under Calder Road opposite house 312."
"Calder Road",10769831,"At Fire Station beside concrete post (as directed)."
"Calder Road",17404110,"On footway at end of railings in bus lay-by opposite the end of Sighthill View."
"Calder Road",10769987,"Against kerb at top of approach ramp to subway on west side of Sighthill Avenue and in front of 413/415 Calder Rd."
"Calder Road",10770995,"Against guard rail at top of approach ramp to subway in front of 197/199 Calder Rd (west side of Longstone Rd)."
"Calder Road",10769399,"Between top of wall of west ramp to subway and metal railings in bus terminus lay-by opposite access road to houses 20 and 28 Calder View."
"Calder Road",8715760,"Against railings at top of west approach to subway on west side of Wester Hailes Rd and near lighting column behind house 75 Calder Gdns."
"Calder Road (Service road)",17404116,"At 4, at Saughton Mains Street."
"Calton Hill",12865595,"Beside no. 14 at lighting column CBN04."
"Cambridge Avenue",13128653,"At Cambridge Gardens."
"Cambridge Avenue",13128779,"At Balfour Street."
"Cameron House Avenue",10985294,"At 18 at lane to Prestonfield Road."
"Cameron House Avenue",10985561,"On verge opp 19-29 at Prestonfield Road."
"Cameron March",208,
"Cameron Park",9017202,"At lighting column 9."
"Cameron Park",9017154,"At lighting column 6."
"Cameron Terrace",17404119,"Between 5 and 6."
"Cameron Toll Gardens",17442378,"At lighting column CCB02."
"Cameron Toll Gardens",17404122,"At 17 at lighting column CCB04."
"Cammo Brae",17442521,"At south end."
"Cammo Brae",17442518,"At north end."
"Campbell Park Crescent",13219288,"Outside house 20."
"Campbell Park Drive",3043,"At Campbell Park Crescent."
"Camus Avenue",17404131,"Opposite 79."
"Camus Avenue",17404128,"Outside house 95."
"Camus Avenue",17404125,"At house 61."
"Camus Avenue",11277486,"Outside Medical Centre."
"Camus Park",11277777,"Opposite house 8 at lighting column."
"Camus Place East",11213282,"At lighting column in front of house 1."
"Camus Place East",17404134,"Outside house 18 at lighting column CIZ06."
"Camus Road East",11277513,"Against wall at lighting column at side of house 9 Camus Ave."
"Camus Road West",10938467,"Outside house 14."
"Camus Road West",10938539,"At lighting column in front of house 2."
